price_in_rp,building_size_m2,land_size_m2,floors,bedrooms,bathrooms,building_age
370000000.0,75.0,60.0,1.0,3.0,2.0,
320000000.0,45.0,60.0,1.0,2.0,1.0,
853000000.0,60.0,55.0,2.0,2.0,1.0,
550000000.0,36.0,60.0,1.0,2.0,1.0,
2200000000.0,230.0,162.0,2.0,4.0,4.0,
1950000000.0,200.0,220.0,2.0,4.0,2.0,12.0
1960000000.0,85.0,90.0,2.0,3.0,2.0,
1150000000.0,150.0,90.0,2.0,4.0,2.0,
1800000000.0,84.0,120.0,1.0,2.0,3.0,2.0
1400000000.0,150.0,130.0,1.0,3.0,2.0,18.0
1400000000.0,150.0,130.0,1.0,3.0,2.0,18.0
1250000000.0,81.0,90.0,1.0,3.0,2.0,
3250000000.0,280.0,255.0,2.0,5.0,3.0,6.0
6750000000.0,550.0,337.0,2.0,5.0,4.0,
5000000000.0,400.0,343.0,2.0,5.0,5.0,
850000000.0,110.0,90.0,2.0,2.0,1.0,
1850000000.0,135.0,215.0,1.0,3.0,2.0,5.0
1080000000.0,90.0,105.0,2.0,2.0,2.0,
1200000000.0,90.0,165.0,1.0,3.0,2.0,
390000000.0,36.0,73.0,1.0,2.0,1.0,0.0
2750000000.0,211.0,225.0,2.0,6.0,4.0,
2750000000.0,128.0,160.0,2.0,4.0,4.0,0.0
590000000.0,150.0,153.0,1.0,3.0,2.0,
990000000.0,123.0,220.0,1.0,3.0,2.0,
2000000000.0,96.0,216.0,1.0,2.0,1.0,
635000000.0,86.0,55.0,1.0,2.0,1.0,0.0
475000000.0,41.0,78.0,1.0,2.0,1.0,0.0
525000000.0,80.0,60.0,1.0,3.0,2.0,
525000000.0,80.0,60.0,1.0,3.0,2.0,
375000000.0,60.0,60.0,1.0,,,
1100000000.0,90.0,65.0,2.0,3.0,2.0,10.0
2000000000.0,100.0,216.0,1.0,2.0,1.0,
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
920000000.0,85.0,113.0,2.0,4.0,3.0,0.0
774000000.0,70.0,70.0,2.0,3.0,2.0,0.0
1700000000.0,160.0,125.0,2.0,3.0,2.0,0.0
